"VL_PGTO","MUNICIPIO","CD_GR_CLASSE_CONTABIL","NM_GR_CLASSE_CONTABIL","ANO","DS_MES","NU_MES","SK_LOCALIDAD"
206544.95,Anchieta,51,IPVA,2022,JUNHO,6,4508
4462.46,Anchieta,27,ITCMD,2022,JUNHO,6,4508
495.1,Anchieta,78,OUTRAS RECEITAS,2022,JUNHO,6,4508
1153.23,Anchieta,86,OUTRAS RECEITAS,2022,JUNHO,6,4508
5016.35,Anchieta,94,OUTRAS RECEITAS,2022,JUNHO,6,4508
418346.44,Anchieta,43,ICMS,2022,JULHO,7,4508
218838.53,Anchieta,51,IPVA,2022,JULHO,7,4508
4895.14,Anchieta,27,ITCMD,2022,JULHO,7,4508
2390.34,Anchieta,78,OUTRAS RECEITAS,2022,JULHO,7,4508
4162.7,Anchieta,86,OUTRAS RECEITAS,2022,JULHO,7,4508
2150.93,Anchieta,94,OUTRAS RECEITAS,2022,JULHO,7,4508
1036.76,Anchieta,43,ICMS,2022,AGOSTO,8,4508
42395.55,Anchieta,51,IPVA,2022,AGOSTO,8,4508
28850,Anchieta,27,ITCMD,2022,AGOSTO,8,4508
89.58,Anchieta,78,OUTRAS RECEITAS,2022,AGOSTO,8,4508
297,Anchieta,94,OUTRAS RECEITAS,2022,AGOSTO,8,4508
283317.86,Angelina,43,ICMS,2022,JANEIRO,1,3967
138769.24,Angelina,51,IPVA,2022,JANEIRO,1,3967
13319.8,Angelina,27,ITCMD,2022,JANEIRO,1,3967
44.79,Angelina,78,OUTRAS RECEITAS,2022,JANEIRO,1,3967
1492.93,Angelina,94,OUTRAS RECEITAS,2022,JANEIRO,1,3967
239188.81,Angelina,43,ICMS,2022,FEVEREIRO,2,3967
164915.09,Angelina,51,IPVA,2022,FEVEREIRO,2,3967
7311.33,Angelina,27,ITCMD,2022,FEVEREIRO,2,3967
869.38,Angelina,78,OUTRAS RECEITAS,2022,FEVEREIRO,2,3967
1538.55,Angelina,94,OUTRAS RECEITAS,2022,FEVEREIRO,2,3967
199323.17,Angelina,43,ICMS,2022,MARÃO,3,3967
206659.93,Angelina,51,IPVA,2022,MARÃO,3,3967
7089.87,Angelina,27,ITCMD,2022,MARÃO,3,3967
610.54,Angelina,78,OUTRAS RECEITAS,2022,MARÃO,3,3967
1478.77,Angelina,94,OUTRAS RECEITAS,2022,MARÃO,3,3967
201836.95,Angelina,43,ICMS,2022,ABRIL,4,3967
158302.81,Angelina,51,IPVA,2022,ABRIL,4,3967
4670.64,Angelina,27,ITCMD,2022,ABRIL,4,3967
277.65,Angelina,78,OUTRAS RECEITAS,2022,ABRIL,4,3967
2045.35,Angelina,94,OUTRAS RECEITAS,2022,ABRIL,4,3967
252435.89,Angelina,43,ICMS,2022,MAIO,5,3967
216256.85,Angelina,51,IPVA,2022,MAIO,5,3967
3834.98,Angelina,27,ITCMD,2022,MAIO,5,3967
1549.75,Angelina,78,OUTRAS RECEITAS,2022,MAIO,5,3967
125.72,Angelina,86,OUTRAS RECEITAS,2022,MAIO,5,3967
1357.49,Angelina,94,OUTRAS RECEITAS,2022,MAIO,5,3967
261104.89,Angelina,43,ICMS,2022,JUNHO,6,3967
166777.99,Angelina,51,IPVA,2022,JUNHO,6,3967
3276,Angelina,27,ITCMD,2022,JUNHO,6,3967
900.99,Angelina,78,OUTRAS RECEITAS,2022,JUNHO,6,3967
6.49,Angelina,86,OUTRAS RECEITAS,2022,JUNHO,6,3967
13730.38,Angelina,94,OUTRAS RECEITAS,2022,JUNHO,6,3967
228473.3,Angelina,43,ICMS,2022,JULHO,7,3967
168231.87,Angelina,51,IPVA,2022,JULHO,7,3967
2700.66,Angelina,27,ITCMD,2022,JULHO,7,3967
621.53,Angelina,78,OUTRAS RECEITAS,2022,JULHO,7,3967
7.89,Angelina,86,OUTRAS RECEITAS,2022,JULHO,7,3967
1743.97,Angelina,94,OUTRAS RECEITAS,2022,JULHO,7,3967
486.08,Angelina,43,ICMS,2022,AGOSTO,8,3967
67191.4,Angelina,51,IPVA,2022,AGOSTO,8,3967
672.13,Angelina,27,ITCMD,2022,AGOSTO,8,3967
102.21,Angelina,78,OUTRAS RECEITAS,2022,AGOSTO,8,3967
171.76,Angelina,94,OUTRAS RECEITAS,2022,AGOSTO,8,3967
232267.34,Anita Garibaldi,43,ICMS,2022,JANEIRO,1,3895
136179.17,Anita Garibaldi,51,IPVA,2022,JANEIRO,1,3895
8493.58,Anita Garibaldi,27,ITCMD,2022,JANEIRO,1,3895
