DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NM_SOCIAL_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;CD_SITUACAO_JULGAMENTO;DS_SITUACAO_JULGAMENTO;CD_SITUACAO_CASSACAO;DS_SITUACAO_CASSACAO;CD_SITUACAO_DCONST_DIPLOMA;DS_SITUACAO_DCONST_DIPLOMA;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NR_FEDERACAO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;NM_TIPO_DESTINACAO_VOTOS;QT_VOTOS_NOMINAIS_VALIDOS;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80020;IPORÃ DO OESTE;65;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;952;Válido;952;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;83410;SAUDADES;66;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;754;Válido;754;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81930;LEOBERTO LEAL;39;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;278;Válido;278;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81515;IPUMIRIM;90;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;555;Válido;555;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80730;CANOINHAS;8;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;6062;Válido;6062;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81060;FORQUILHINHA;98;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;4419;Válido;4419;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80551;BRUSQUE;86;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;5332;Válido;5332;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;83798;VIDEIRA;36;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;4779;Válido;4779;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;83836;XANXERÊ;43;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;3411;Válido;3411;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;82031;MAJOR VIEIRA;8;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;832;Válido;832;4;NÃO ELEITO
